"league","season","avg_home_goals","avg_away_goals","home_advantage","win_percent","draw_percent","loss_percent"
Netherlands Eredivisie,"2010/2011",1.9444444444444444,1.2810457516339868,0.6633986928104576,0.5228758169934641,0.23202614379084968,0.24509803921568626
Switzerland Super League,"2009/2010",1.9944444444444445,1.3333333333333333,0.6611111111111112,0.55,0.16111111111111112,0.28888888888888886
Belgium Jupiler League,"2011/2012",1.7541666666666667,1.125,0.6291666666666667,0.49583333333333335,0.2708333333333333,0.23333333333333334
England Premier League,"2009/2010",1.6973684210526316,1.0736842105263158,0.6236842105263158,0.5078947368421053,0.25263157894736843,0.2394736842105263
Poland Ekstraklasa,"2010/2011",1.5041666666666667,0.9041666666666667,0.6,0.5166666666666667,0.25,0.23333333333333334
Spain LIGA BBVA,"2011/2012",1.6789473684210525,1.0842105263157895,0.594736842105263,0.49473684210526314,0.24736842105263157,0.2578947368421053
Netherlands Eredivisie,"2008/2009",1.7124183006535947,1.130718954248366,0.5816993464052287,0.4803921568627451,0.24836601307189543,0.27124183006535946
Netherlands Eredivisie,"2011/2012",1.911764705882353,1.34640522875817,0.565359477124183,0.5065359477124183,0.20588235294117646,0.2875816993464052
Belgium Jupiler League,"2010/2011",1.5916666666666666,1.0541666666666667,0.5374999999999999,0.48333333333333334,0.25833333333333336,0.25833333333333336
Netherlands Eredivisie,"2009/2010",1.7254901960784315,1.1895424836601307,0.5359477124183007,0.5,0.20261437908496732,0.2973856209150327
Spain LIGA BBVA,"2010/2011",1.6368421052631579,1.105263157894737,0.5315789473684209,0.5184210526315789,0.20789473684210527,0.2736842105263158
Netherlands Eredivisie,"2013/2014",1.8562091503267975,1.3398692810457515,0.5163398692810459,0.47058823529411764,0.27450980392156865,0.2549019607843137
Spain LIGA BBVA,"2013/2014",1.631578947368421,1.118421052631579,0.513157894736842,0.4710526315789474,0.22631578947368422,0.3026315789473684
Switzerland Super League,"2008/2009",1.7555555555555555,1.2444444444444445,0.5111111111111111,0.48333333333333334,0.25,0.26666666666666666
Spain LIGA BBVA,"2012/2013",1.686842105263158,1.1842105263157894,0.5026315789473685,0.49736842105263157,0.22105263157894736,0.28157894736842104
Belgium Jupiler League,"2013/2014",1.5,1.0,0.5,0.5,0.16666666666666666,0.3333333333333333
Spain LIGA BBVA,"2015/2016",1.618421052631579,1.1263157894736842,0.4921052631578948,0.48157894736842105,0.24210526315789474,0.27631578947368424
Poland Ekstraklasa,"2008/2009",1.3375,0.8458333333333333,0.4916666666666666,0.49583333333333335,0.24583333333333332,0.25833333333333336
Spain LIGA BBVA,"2009/2010",1.6,1.1131578947368421,0.48684210526315796,0.5105263157894737,0.25,0.2394736842105263
Germany 1. Bundesliga,"2008/2009",1.6993464052287581,1.2222222222222223,0.4771241830065358,0.4803921568627451,0.24183006535947713,0.2777777777777778
Italy Serie A,"2009/2010",1.5421052631578946,1.068421052631579,0.4736842105263157,0.48947368421052634,0.26842105263157895,0.24210526315789474
Belgium Jupiler League,"2008/2009",1.630718954248366,1.1633986928104576,0.4673202614379084,0.4869281045751634,0.21895424836601307,0.29411764705882354
Germany 1. Bundesliga,"2011/2012",1.6601307189542485,1.1993464052287581,0.46078431372549034,0.4542483660130719,0.2581699346405229,0.2875816993464052
Belgium Jupiler League,"2015/2016",1.675,1.2166666666666666,0.4583333333333335,0.4791666666666667,0.24583333333333332,0.275
Poland Ekstraklasa,"2013/2014",1.55,1.0916666666666666,0.4583333333333335,0.4583333333333333,0.30416666666666664,0.2375
Switzerland Super League,"2012/2013",1.511111111111111,1.0555555555555556,0.4555555555555555,0.4666666666666667,0.25,0.2833333333333333
England Premier League,"2010/2011",1.6236842105263158,1.1736842105263159,0.44999999999999996,0.4710526315789474,0.29210526315789476,0.23684210526315788
Italy Serie A,"2008/2009",1.5210526315789474,1.0789473684210527,0.4421052631578948,0.5052631578947369,0.25,0.24473684210526317
Italy Serie A,"2011/2012",1.511173184357542,1.0726256983240223,0.4385474860335197,0.46089385474860334,0.28212290502793297,0.2569832402234637
France Ligue 1,"2011/2012",1.4736842105263157,1.0421052631578946,0.43157894736842106,0.4710526315789474,0.28421052631578947,0.24473684210526317
Spain LIGA BBVA,"2008/2009",1.6605263157894736,1.236842105263158,0.42368421052631566,0.4842105263157895,0.21842105263157896,0.29736842105263156
Switzerland Super League,"2015/2016",1.7833333333333334,1.3611111111111112,0.4222222222222223,0.4444444444444444,0.2611111111111111,0.29444444444444445
Germany 1. Bundesliga,"2014/2015",1.588235294117647,1.1666666666666667,0.4215686274509802,0.4738562091503268,0.2679738562091503,0.2581699346405229
Spain LIGA BBVA,"2014/2015",1.5368421052631578,1.118421052631579,0.4184210526315788,0.45,0.2394736842105263,0.3105263157894737
Poland Ekstraklasa,"2014/2015",1.5166666666666666,1.1,0.4166666666666665,0.475,0.275,0.25
Portugal Liga ZON Sagres,"2014/2015",1.4509803921568627,1.042483660130719,0.40849673202614367,0.4477124183006536,0.2777777777777778,0.27450980392156865
France Ligue 1,"2012/2013",1.4684210526315788,1.0763157894736841,0.39210526315789473,0.4473684210526316,0.28421052631578947,0.26842105263157895
England Premier League,"2014/2015",1.4736842105263157,1.0921052631578947,0.381578947368421,0.45263157894736844,0.24473684210526317,0.3026315789473684
Netherlands Eredivisie,"2012/2013",1.7647058823529411,1.3856209150326797,0.3790849673202614,0.4477124183006536,0.2549019607843137,0.2973856209150327
England Premier League,"2013/2014",1.5736842105263158,1.194736842105263,0.3789473684210527,0.4710526315789474,0.20526315789473684,0.3236842105263158
France Ligue 1,"2013/2014",1.4157894736842105,1.0394736842105263,0.37631578947368416,0.4421052631578947,0.28421052631578947,0.2736842105263158
England Premier League,"2011/2012",1.5894736842105264,1.2157894736842105,0.37368421052631584,0.45,0.24473684210526317,0.30526315789473685
Germany 1. Bundesliga,"2010/2011",1.6470588235294117,1.2745098039215685,0.37254901960784315,0.46078431372549017,0.20588235294117646,0.3333333333333333
France Ligue 1,"2009/2010",1.3894736842105264,1.0210526315789474,0.368421052631579,0.4710526315789474,0.25526315789473686,0.2736842105263158
Italy Serie A,"2015/2016",1.4710526315789474,1.105263157894737,0.36578947368421044,0.4605263157894737,0.25,0.2894736842105263
Belgium Jupiler League,"2014/2015",1.5666666666666667,1.2166666666666666,0.3500000000000001,0.44166666666666665,0.25,0.30833333333333335
Italy Serie A,"2010/2011",1.431578947368421,1.081578947368421,0.3500000000000001,0.4710526315789474,0.25526315789473686,0.2736842105263158
Italy Serie A,"2012/2013",1.4947368421052631,1.144736842105263,0.3500000000000001,0.46578947368421053,0.25263157894736843,0.28157894736842104
Portugal Liga ZON Sagres,"2011/2012",1.4958333333333333,1.1458333333333333,0.3500000000000001,0.4791666666666667,0.22083333333333333,0.3
Italy Serie A,"2013/2014",1.5368421052631578,1.186842105263158,0.34999999999999987,0.4763157894736842,0.23684210526315788,0.2868421052631579
France Ligue 1,"2015/2016",1.436842105263158,1.0894736842105264,0.34736842105263155,0.42105263157894735,0.28421052631578947,0.29473684210526313
France Ligue 1,"2010/2011",1.3421052631578947,1.0,0.3421052631578947,0.4131578947368421,0.34210526315789475,0.24473684210526317
Switzerland Super League,"2014/2015",1.6055555555555556,1.2666666666666666,0.338888888888889,0.4222222222222222,0.26666666666666666,0.3111111111111111
Germany 1. Bundesliga,"2013/2014",1.7483660130718954,1.411764705882353,0.3366013071895424,0.4738562091503268,0.20915032679738563,0.31699346405228757
Switzerland Super League,"2013/2014",1.6111111111111112,1.2777777777777777,0.3333333333333335,0.45555555555555555,0.22777777777777777,0.31666666666666665
France Ligue 1,"2014/2015",1.4105263157894736,1.081578947368421,0.32894736842105265,0.4763157894736842,0.23157894736842105,0.29210526315789476
England Premier League,"2008/2009",1.4,1.0789473684210527,0.32105263157894726,0.45526315789473687,0.25526315789473686,0.2894736842105263
Scotland Premier League,"2014/2015",1.4473684210526316,1.1271929824561404,0.3201754385964912,0.4473684210526316,0.19298245614035087,0.35964912280701755
England Premier League,"2012/2013",1.5578947368421052,1.2394736842105263,0.31842105263157894,0.4368421052631579,0.28421052631578947,0.2789473684210526
France Ligue 1,"2008/2009",1.2868421052631578,0.9710526315789474,0.3157894736842104,0.4342105263157895,0.29473684210526313,0.2710526315789474
Italy Serie A,"2014/2015",1.4986807387862797,1.187335092348285,0.31134564643799467,0.40105540897097625,0.316622691292876,0.28232189973614774
Portugal Liga ZON Sagres,"2015/2016",1.5130718954248366,1.2026143790849673,0.3104575163398693,0.434640522875817,0.24836601307189543,0.31699346405228757
Netherlands Eredivisie,"2014/2015",1.6928104575163399,1.3856209150326797,0.30718954248366015,0.45098039215686275,0.238562091503268,0.3104575163398693
Germany 1. Bundesliga,"2015/2016",1.565359477124183,1.2647058823529411,0.30065359477124187,0.4411764705882353,0.23202614379084968,0.32679738562091504
Poland Ekstraklasa,"2011/2012",1.2416666666666667,0.9541666666666667,0.2875,0.44583333333333336,0.2708333333333333,0.2833333333333333
Portugal Liga ZON Sagres,"2013/2014",1.3291666666666666,1.0416666666666667,0.28749999999999987,0.45,0.25,0.3
England Premier League,"2015/2016",1.4921052631578948,1.2078947368421054,0.28421052631578947,0.4131578947368421,0.28157894736842104,0.30526315789473685
Netherlands Eredivisie,"2015/2016",1.630718954248366,1.3496732026143792,0.2810457516339868,0.4477124183006536,0.24183006535947713,0.3104575163398693
Scotland Premier League,"2013/2014",1.513157894736842,1.2324561403508771,0.2807017543859649,0.4473684210526316,0.21929824561403508,0.3333333333333333
Switzerland Super League,"2011/2012",1.4506172839506173,1.1728395061728396,0.2777777777777777,0.43209876543209874,0.24691358024691357,0.32098765432098764
Poland Ekstraklasa,"2009/2010",1.2458333333333333,0.9708333333333333,0.275,0.45,0.2708333333333333,0.2791666666666667
Portugal Liga ZON Sagres,"2009/2010",1.3875,1.1166666666666667,0.27083333333333326,0.43333333333333335,0.2833333333333333,0.2833333333333333
Scotland Premier League,"2009/2010",1.4078947368421053,1.1578947368421053,0.25,0.41228070175438597,0.27631578947368424,0.31140350877192985
Germany 1. Bundesliga,"2012/2013",1.591503267973856,1.3431372549019607,0.24836601307189543,0.42483660130718953,0.2549019607843137,0.3202614379084967
Belgium Jupiler League,"2009/2010",1.4666666666666666,1.223809523809524,0.24285714285714266,0.46190476190476193,0.24285714285714285,0.29523809523809524
Scotland Premier League,"2008/2009",1.3201754385964912,1.0833333333333333,0.23684210526315796,0.42105263157894735,0.25877192982456143,0.3201754385964912
Portugal Liga ZON Sagres,"2012/2013",1.5041666666666667,1.275,0.22916666666666674,0.42916666666666664,0.25416666666666665,0.31666666666666665
Scotland Premier League,"2012/2013",1.4780701754385965,1.2543859649122806,0.22368421052631593,0.39035087719298245,0.3201754385964912,0.2894736842105263
Scotland Premier League,"2010/2011",1.381578947368421,1.1798245614035088,0.20175438596491224,0.41228070175438597,0.2149122807017544,0.37280701754385964
Germany 1. Bundesliga,"2009/2010",1.5130718954248366,1.3169934640522876,0.196078431372549,0.4084967320261438,0.28104575163398693,0.3104575163398693
Belgium Jupiler League,"2012/2013",1.5625,1.3666666666666667,0.1958333333333333,0.425,0.24583333333333332,0.32916666666666666
Poland Ekstraklasa,"2015/2016",1.4208333333333334,1.225,0.1958333333333333,0.37916666666666665,0.30833333333333335,0.3125
Poland Ekstraklasa,"2012/2013",1.3416666666666666,1.15,0.19166666666666665,0.4041666666666667,0.2625,0.3333333333333333
Portugal Liga ZON Sagres,"2010/2011",1.3125,1.1208333333333333,0.19166666666666665,0.42083333333333334,0.275,0.30416666666666664
Portugal Liga ZON Sagres,"2008/2009",1.2333333333333334,1.0666666666666667,0.16666666666666674,0.44583333333333336,0.26666666666666666,0.2875
Switzerland Super League,"2010/2011",1.5722222222222222,1.4111111111111112,0.16111111111111098,0.4,0.2833333333333333,0.31666666666666665
Scotland Premier League,"2015/2016",1.5043859649122806,1.3464912280701755,0.1578947368421051,0.40789473684210525,0.22807017543859648,0.36403508771929827
Scotland Premier League,"2011/2012",1.381578947368421,1.2543859649122806,0.1271929824561404,0.39473684210526316,0.25,0.35526315789473684
