"season","league","team","points","prev_season_points","points_change"
"2013/2014",Germany 1. Bundesliga,FC Bayern Munich,90,91,-1
"2014/2015",Germany 1. Bundesliga,FC Bayern Munich,79,90,-11
"2015/2016",Germany 1. Bundesliga,FC Bayern Munich,88,79,9
"2014/2015",Netherlands Eredivisie,FC Dordrecht,20,,
"2008/2009",Germany 1. Bundesliga,FC Energie Cottbus,30,,
"2008/2009",Netherlands Eredivisie,FC Groningen,56,,
"2009/2010",Netherlands Eredivisie,FC Groningen,49,56,-7
"2010/2011",Netherlands Eredivisie,FC Groningen,57,49,8
"2011/2012",Netherlands Eredivisie,FC Groningen,37,57,-20
"2012/2013",Netherlands Eredivisie,FC Groningen,43,37,6
"2013/2014",Netherlands Eredivisie,FC Groningen,51,43,8
"2014/2015",Netherlands Eredivisie,FC Groningen,46,51,-5
"2015/2016",Netherlands Eredivisie,FC Groningen,50,46,4
"2015/2016",Germany 1. Bundesliga,FC Ingolstadt 04,40,,
"2011/2012",Switzerland Super League,FC Lausanne-Sports,30,,
"2012/2013",Switzerland Super League,FC Lausanne-Sports,33,30,3
"2013/2014",Switzerland Super League,FC Lausanne-Sports,24,33,-9
"2008/2009",France Ligue 1,FC Lorient,45,,
"2009/2010",France Ligue 1,FC Lorient,58,45,13
"2010/2011",France Ligue 1,FC Lorient,49,58,-9
"2011/2012",France Ligue 1,FC Lorient,39,49,-10
"2012/2013",France Ligue 1,FC Lorient,53,39,14
"2013/2014",France Ligue 1,FC Lorient,49,53,-4
"2014/2015",France Ligue 1,FC Lorient,43,49,-6
"2015/2016",France Ligue 1,FC Lorient,46,43,3
"2008/2009",Switzerland Super League,FC Luzern,35,,
"2009/2010",Switzerland Super League,FC Luzern,58,35,23
"2010/2011",Switzerland Super League,FC Luzern,48,58,-10
"2011/2012",Switzerland Super League,FC Luzern,54,48,6
"2012/2013",Switzerland Super League,FC Luzern,42,54,-12
"2013/2014",Switzerland Super League,FC Luzern,51,42,9
"2014/2015",Switzerland Super League,FC Luzern,47,51,-4
"2015/2016",Switzerland Super League,FC Luzern,54,47,7
"2014/2015",France Ligue 1,FC Metz,30,,
"2008/2009",France Ligue 1,FC Nantes,37,,
"2013/2014",France Ligue 1,FC Nantes,49,37,12
"2014/2015",France Ligue 1,FC Nantes,45,49,-4
"2015/2016",France Ligue 1,FC Nantes,48,45,3
"2008/2009",Portugal Liga ZON Sagres,FC Paços de Ferreira,34,,
"2009/2010",Portugal Liga ZON Sagres,FC Paços de Ferreira,35,34,1
"2010/2011",Portugal Liga ZON Sagres,FC Paços de Ferreira,41,35,6
"2011/2012",Portugal Liga ZON Sagres,FC Paços de Ferreira,31,41,-10
"2012/2013",Portugal Liga ZON Sagres,FC Paços de Ferreira,54,31,23
"2013/2014",Portugal Liga ZON Sagres,FC Paços de Ferreira,24,54,-30
"2014/2015",Portugal Liga ZON Sagres,FC Paços de Ferreira,47,24,23
"2015/2016",Portugal Liga ZON Sagres,FC Paços de Ferreira,49,47,2
"2014/2015",Portugal Liga ZON Sagres,FC Penafiel,22,,
"2008/2009",Portugal Liga ZON Sagres,FC Porto,70,,
"2009/2010",Portugal Liga ZON Sagres,FC Porto,68,70,-2
"2010/2011",Portugal Liga ZON Sagres,FC Porto,84,68,16
"2011/2012",Portugal Liga ZON Sagres,FC Porto,75,84,-9
"2012/2013",Portugal Liga ZON Sagres,FC Porto,78,75,3
"2013/2014",Portugal Liga ZON Sagres,FC Porto,61,78,-17
"2014/2015",Portugal Liga ZON Sagres,FC Porto,82,61,21
"2015/2016",Portugal Liga ZON Sagres,FC Porto,73,82,-9
"2008/2009",Germany 1. Bundesliga,FC Schalke 04,50,,
"2009/2010",Germany 1. Bundesliga,FC Schalke 04,65,50,15
"2010/2011",Germany 1. Bundesliga,FC Schalke 04,40,65,-25
"2011/2012",Germany 1. Bundesliga,FC Schalke 04,64,40,24
"2012/2013",Germany 1. Bundesliga,FC Schalke 04,55,64,-9
"2013/2014",Germany 1. Bundesliga,FC Schalke 04,64,55,9
"2014/2015",Germany 1. Bundesliga,FC Schalke 04,48,64,-16
"2015/2016",Germany 1. Bundesliga,FC Schalke 04,52,48,4
"2008/2009",Switzerland Super League,FC Sion,37,,
"2009/2010",Switzerland Super League,FC Sion,51,37,14
"2010/2011",Switzerland Super League,FC Sion,54,51,3
"2011/2012",Switzerland Super League,FC Sion,53,54,-1
"2012/2013",Switzerland Super League,FC Sion,48,53,-5
"2013/2014",Switzerland Super League,FC Sion,43,48,-5
"2014/2015",Switzerland Super League,FC Sion,45,43,2
"2015/2016",Switzerland Super League,FC Sion,50,45,5
"2008/2009",France Ligue 1,FC Sochaux-Montbéliard,42,,
"2009/2010",France Ligue 1,FC Sochaux-Montbéliard,41,42,-1
"2010/2011",France Ligue 1,FC Sochaux-Montbéliard,58,41,17
"2011/2012",France Ligue 1,FC Sochaux-Montbéliard,42,58,-16
"2012/2013",France Ligue 1,FC Sochaux-Montbéliard,41,42,-1
"2013/2014",France Ligue 1,FC Sochaux-Montbéliard,40,41,-1
"2009/2010",Switzerland Super League,FC St. Gallen,46,,
"2010/2011",Switzerland Super League,FC St. Gallen,31,46,-15
"2012/2013",Switzerland Super League,FC St. Gallen,59,31,28
"2013/2014",Switzerland Super League,FC St. Gallen,45,59,-14
"2014/2015",Switzerland Super League,FC St. Gallen,47,45,2
"2015/2016",Switzerland Super League,FC St. Gallen,38,47,-9
"2010/2011",Germany 1. Bundesliga,FC St. Pauli,29,,
"2010/2011",Switzerland Super League,FC Thun,49,,
"2011/2012",Switzerland Super League,FC Thun,43,49,-6
"2012/2013",Switzerland Super League,FC Thun,48,43,5
"2013/2014",Switzerland Super League,FC Thun,48,48,0
"2014/2015",Switzerland Super League,FC Thun,52,48,4
"2015/2016",Switzerland Super League,FC Thun,41,52,-11
"2008/2009",Netherlands Eredivisie,FC Twente,69,,
"2009/2010",Netherlands Eredivisie,FC Twente,86,69,17
"2010/2011",Netherlands Eredivisie,FC Twente,71,86,-15
"2011/2012",Netherlands Eredivisie,FC Twente,60,71,-11
"2012/2013",Netherlands Eredivisie,FC Twente,62,60,2
"2013/2014",Netherlands Eredivisie,FC Twente,63,62,1
"2014/2015",Netherlands Eredivisie,FC Twente,49,63,-14
"2015/2016",Netherlands Eredivisie,FC Twente,43,49,-6
"2008/2009",Netherlands Eredivisie,FC Utrecht,44,,
"2009/2010",Netherlands Eredivisie,FC Utrecht,53,44,9
"2010/2011",Netherlands Eredivisie,FC Utrecht,47,53,-6
"2011/2012",Netherlands Eredivisie,FC Utrecht,43,47,-4
"2012/2013",Netherlands Eredivisie,FC Utrecht,63,43,20
"2013/2014",Netherlands Eredivisie,FC Utrecht,41,63,-22
"2014/2015",Netherlands Eredivisie,FC Utrecht,41,41,0
"2015/2016",Netherlands Eredivisie,FC Utrecht,53,41,12
"2008/2009",Switzerland Super League,FC Vaduz,22,,
"2014/2015",Switzerland Super League,FC Vaduz,31,22,9
"2015/2016",Switzerland Super League,FC Vaduz,36,31,5
"2008/2009",Netherlands Eredivisie,FC Volendam,29,,
"2008/2009",Switzerland Super League,FC Zürich,79,,
"2009/2010",Switzerland Super League,FC Zürich,45,79,-34
"2010/2011",Switzerland Super League,FC Zürich,72,45,27
"2011/2012",Switzerland Super League,FC Zürich,41,72,-31
"2012/2013",Switzerland Super League,FC Zürich,55,41,14
"2013/2014",Switzerland Super League,FC Zürich,50,55,-5
"2014/2015",Switzerland Super League,FC Zürich,53,50,3
"2015/2016",Switzerland Super League,FC Zürich,34,53,-19
"2008/2009",Belgium Jupiler League,FCV Dender EH,35,,
"2008/2009",Scotland Premier League,Falkirk,38,,
"2009/2010",Scotland Premier League,Falkirk,31,38,-7
"2011/2012",Portugal Liga ZON Sagres,Feirense,24,,
"2008/2009",Netherlands Eredivisie,Feyenoord,45,,
"2009/2010",Netherlands Eredivisie,Feyenoord,63,45,18
"2010/2011",Netherlands Eredivisie,Feyenoord,44,63,-19
"2011/2012",Netherlands Eredivisie,Feyenoord,70,44,26
"2012/2013",Netherlands Eredivisie,Feyenoord,69,70,-1
"2013/2014",Netherlands Eredivisie,Feyenoord,67,69,-2
"2014/2015",Netherlands Eredivisie,Feyenoord,59,67,-8
"2015/2016",Netherlands Eredivisie,Feyenoord,63,59,4
"2008/2009",Italy Serie A,Fiorentina,68,,
"2009/2010",Italy Serie A,Fiorentina,47,68,-21
"2010/2011",Italy Serie A,Fiorentina,51,47,4
"2011/2012",Italy Serie A,Fiorentina,42,51,-9
"2012/2013",Italy Serie A,Fiorentina,70,42,28
"2013/2014",Italy Serie A,Fiorentina,65,70,-5
"2014/2015",Italy Serie A,Fiorentina,64,65,-1
"2015/2016",Italy Serie A,Fiorentina,64,64,0
"2012/2013",Germany 1. Bundesliga,Fortuna Düsseldorf,30,,
"2015/2016",Italy Serie A,Frosinone,31,,
"2008/2009",England Premier League,Fulham,53,,
"2009/2010",England Premier League,Fulham,46,53,-7
"2010/2011",England Premier League,Fulham,49,46,3
"2011/2012",England Premier League,Fulham,52,49,3
"2012/2013",England Premier League,Fulham,43,52,-9
"2013/2014",England Premier League,Fulham,32,43,-11
"2015/2016",France Ligue 1,GFC Ajaccio,37,,
"2008/2009",Poland Ekstraklasa,GKS Bełchatów,54,,
"2009/2010",Poland Ekstraklasa,GKS Bełchatów,48,54,-6
"2010/2011",Poland Ekstraklasa,GKS Bełchatów,40,48,-8
"2011/2012",Poland Ekstraklasa,GKS Bełchatów,31,40,-9
"2012/2013",Poland Ekstraklasa,GKS Bełchatów,31,31,0
"2014/2015",Poland Ekstraklasa,GKS Bełchatów,31,31,0
"2008/2009",Italy Serie A,Genoa,68,,
"2009/2010",Italy Serie A,Genoa,51,68,-17
"2010/2011",Italy Serie A,Genoa,51,51,0
"2011/2012",Italy Serie A,Genoa,40,51,-11
"2012/2013",Italy Serie A,Genoa,38,40,-2
"2013/2014",Italy Serie A,Genoa,44,38,6
"2014/2015",Italy Serie A,Genoa,59,44,15
"2015/2016",Italy Serie A,Genoa,46,59,-13
"2008/2009",Spain LIGA BBVA,Getafe CF,42,,
"2009/2010",Spain LIGA BBVA,Getafe CF,58,42,16
"2010/2011",Spain LIGA BBVA,Getafe CF,44,58,-14
"2011/2012",Spain LIGA BBVA,Getafe CF,47,44,3
"2012/2013",Spain LIGA BBVA,Getafe CF,47,47,0
"2013/2014",Spain LIGA BBVA,Getafe CF,42,47,-5
"2014/2015",Spain LIGA BBVA,Getafe CF,37,42,-5
"2015/2016",Spain LIGA BBVA,Getafe CF,36,37,-1
"2011/2012",Portugal Liga ZON Sagres,Gil Vicente FC,34,,
"2012/2013",Portugal Liga ZON Sagres,Gil Vicente FC,25,34,-9
"2013/2014",Portugal Liga ZON Sagres,Gil Vicente FC,31,25,6
"2014/2015",Portugal Liga ZON Sagres,Gil Vicente FC,23,31,-8
"2008/2009",France Ligue 1,Girondins de Bordeaux,80,,
"2009/2010",France Ligue 1,Girondins de Bordeaux,64,80,-16
"2010/2011",France Ligue 1,Girondins de Bordeaux,51,64,-13
"2011/2012",France Ligue 1,Girondins de Bordeaux,61,51,10
"2012/2013",France Ligue 1,Girondins de Bordeaux,55,61,-6
"2013/2014",France Ligue 1,Girondins de Bordeaux,53,55,-2
"2014/2015",France Ligue 1,Girondins de Bordeaux,63,53,10
"2015/2016",France Ligue 1,Girondins de Bordeaux,50,63,-13
"2013/2014",Netherlands Eredivisie,Go Ahead Eagles,38,,
"2014/2015",Netherlands Eredivisie,Go Ahead Eagles,27,38,-11
"2011/2012",Spain LIGA BBVA,Granada CF,42,,
"2012/2013",Spain LIGA BBVA,Granada CF,42,42,0
"2013/2014",Spain LIGA BBVA,Granada CF,41,42,-1
"2014/2015",Spain LIGA BBVA,Granada CF,35,41,-6
"2015/2016",Spain LIGA BBVA,Granada CF,39,35,4
"2008/2009",Switzerland Super League,Grasshopper Club Zürich,50,,
"2009/2010",Switzerland Super League,Grasshopper Club Zürich,65,50,15
"2010/2011",Switzerland Super League,Grasshopper Club Zürich,41,65,-24
"2011/2012",Switzerland Super League,Grasshopper Club Zürich,26,41,-15
"2012/2013",Switzerland Super League,Grasshopper Club Zürich,69,26,43
"2013/2014",Switzerland Super League,Grasshopper Club Zürich,65,69,-4
"2014/2015",Switzerland Super League,Grasshopper Club Zürich,43,65,-22
"2015/2016",Switzerland Super League,Grasshopper Club Zürich,53,43,10
"2008/2009",France Ligue 1,Grenoble Foot 38,44,,
"2009/2010",France Ligue 1,Grenoble Foot 38,23,44,-21
"2014/2015",Poland Ekstraklasa,Górnik Łęczna,34,,
"2015/2016",Poland Ekstraklasa,Górnik Łęczna,31,34,-3
"2008/2009",Germany 1. Bundesliga,Hamburger SV,61,,
"2009/2010",Germany 1. Bundesliga,Hamburger SV,52,61,-9
"2010/2011",Germany 1. Bundesliga,Hamburger SV,45,52,-7
"2011/2012",Germany 1. Bundesliga,Hamburger SV,36,45,-9
"2012/2013",Germany 1. Bundesliga,Hamburger SV,48,36,12
"2013/2014",Germany 1. Bundesliga,Hamburger SV,27,48,-21
"2014/2015",Germany 1. Bundesliga,Hamburger SV,35,27,8
"2015/2016",Germany 1. Bundesliga,Hamburger SV,41,35,6
"2008/2009",Scotland Premier League,Hamilton Academical FC,41,,
"2009/2010",Scotland Premier League,Hamilton Academical FC,49,41,8
"2010/2011",Scotland Premier League,Hamilton Academical FC,26,49,-23
"2014/2015",Scotland Premier League,Hamilton Academical FC,53,26,27
"2015/2016",Scotland Premier League,Hamilton Academical FC,43,53,-10
"2008/2009",Germany 1. Bundesliga,Hannover 96,40,,
"2009/2010",Germany 1. Bundesliga,Hannover 96,33,40,-7
"2010/2011",Germany 1. Bundesliga,Hannover 96,60,33,27
"2011/2012",Germany 1. Bundesliga,Hannover 96,48,60,-12
"2012/2013",Germany 1. Bundesliga,Hannover 96,45,48,-3
"2013/2014",Germany 1. Bundesliga,Hannover 96,42,45,-3
"2014/2015",Germany 1. Bundesliga,Hannover 96,37,42,-5
"2015/2016",Germany 1. Bundesliga,Hannover 96,25,37,-12
"2008/2009",Scotland Premier League,Heart of Midlothian,59,,
"2009/2010",Scotland Premier League,Heart of Midlothian,48,59,-11
"2010/2011",Scotland Premier League,Heart of Midlothian,63,48,15
"2011/2012",Scotland Premier League,Heart of Midlothian,52,63,-11
"2012/2013",Scotland Premier League,Heart of Midlothian,44,52,-8
"2013/2014",Scotland Premier League,Heart of Midlothian,38,44,-6
"2015/2016",Scotland Premier League,Heart of Midlothian,65,38,27
"2013/2014",Italy Serie A,Hellas Verona,54,,
"2014/2015",Italy Serie A,Hellas Verona,46,54,-8
"2015/2016",Italy Serie A,Hellas Verona,28,46,-18
"2008/2009",Netherlands Eredivisie,Heracles Almelo,32,,
"2009/2010",Netherlands Eredivisie,Heracles Almelo,56,32,24
"2010/2011",Netherlands Eredivisie,Heracles Almelo,49,56,-7
"2011/2012",Netherlands Eredivisie,Heracles Almelo,40,49,-9
"2012/2013",Netherlands Eredivisie,Heracles Almelo,38,40,-2
"2013/2014",Netherlands Eredivisie,Heracles Almelo,37,38,-1
"2014/2015",Netherlands Eredivisie,Heracles Almelo,37,37,0
"2015/2016",Netherlands Eredivisie,Heracles Almelo,51,37,14
"2008/2009",Germany 1. Bundesliga,Hertha BSC Berlin,63,,
"2009/2010",Germany 1. Bundesliga,Hertha BSC Berlin,24,63,-39
"2011/2012",Germany 1. Bundesliga,Hertha BSC Berlin,31,24,7
"2013/2014",Germany 1. Bundesliga,Hertha BSC Berlin,41,31,10
"2014/2015",Germany 1. Bundesliga,Hertha BSC Berlin,35,41,-6
"2015/2016",Germany 1. Bundesliga,Hertha BSC Berlin,50,35,15
"2008/2009",Scotland Premier League,Hibernian,47,,
"2009/2010",Scotland Premier League,Hibernian,54,47,7
"2010/2011",Scotland Premier League,Hibernian,37,54,-17
"2011/2012",Scotland Premier League,Hibernian,33,37,-4
"2012/2013",Scotland Premier League,Hibernian,51,33,18
"2013/2014",Scotland Premier League,Hibernian,35,51,-16
"2008/2009",England Premier League,Hull City,35,,
"2009/2010",England Premier League,Hull City,30,35,-5
"2013/2014",England Premier League,Hull City,37,30,7
"2014/2015",England Premier League,Hull City,35,37,-2
"2010/2011",Spain LIGA BBVA,Hércules Club de Fútbol,35,,
"2008/2009",Italy Serie A,Inter,84,,
"2009/2010",Italy Serie A,Inter,82,84,-2
"2010/2011",Italy Serie A,Inter,76,82,-6
"2011/2012",Italy Serie A,Inter,57,76,-19
"2012/2013",Italy Serie A,Inter,54,57,-3
"2013/2014",Italy Serie A,Inter,60,54,6
"2014/2015",Italy Serie A,Inter,55,60,-5
"2015/2016",Italy Serie A,Inter,67,55,12
"2008/2009",Scotland Premier League,Inverness Caledonian Thistle,37,,
"2010/2011",Scotland Premier League,Inverness Caledonian Thistle,53,37,16
"2011/2012",Scotland Premier League,Inverness Caledonian Thistle,39,53,-14
"2012/2013",Scotland Premier League,Inverness Caledonian Thistle,54,39,15
"2013/2014",Scotland Premier League,Inverness Caledonian Thistle,57,54,3
"2014/2015",Scotland Premier League,Inverness Caledonian Thistle,65,57,8
"2015/2016",Scotland Premier League,Inverness Caledonian Thistle,52,65,-13
"2008/2009",Poland Ekstraklasa,Jagiellonia Białystok,34,,
"2009/2010",Poland Ekstraklasa,Jagiellonia Białystok,44,34,10
"2010/2011",Poland Ekstraklasa,Jagiellonia Białystok,48,44,4
"2011/2012",Poland Ekstraklasa,Jagiellonia Białystok,39,48,-9
"2012/2013",Poland Ekstraklasa,Jagiellonia Białystok,37,39,-2
"2013/2014",Poland Ekstraklasa,Jagiellonia Białystok,39,37,2
"2014/2015",Poland Ekstraklasa,Jagiellonia Białystok,49,39,10
"2015/2016",Poland Ekstraklasa,Jagiellonia Białystok,35,49,-14
"2008/2009",Italy Serie A,Juventus,74,,
"2009/2010",Italy Serie A,Juventus,55,74,-19
"2010/2011",Italy Serie A,Juventus,58,55,3
"2011/2012",Italy Serie A,Juventus,79,58,21
"2012/2013",Italy Serie A,Juventus,87,79,8
"2013/2014",Italy Serie A,Juventus,102,87,15
"2014/2015",Italy Serie A,Juventus,87,102,-15
"2015/2016",Italy Serie A,Juventus,91,87,4
"2008/2009",Belgium Jupiler League,KAA Gent,59,,
"2009/2010",Belgium Jupiler League,KAA Gent,49,59,-10
"2010/2011",Belgium Jupiler League,KAA Gent,57,49,8
"2011/2012",Belgium Jupiler League,KAA Gent,56,57,-1
"2012/2013",Belgium Jupiler League,KAA Gent,34,56,-22
"2013/2014",Belgium Jupiler League,KAA Gent,10,34,-24
"2014/2015",Belgium Jupiler League,KAA Gent,57,10,47
"2015/2016",Belgium Jupiler League,KAA Gent,60,57,3
"2010/2011",Belgium Jupiler League,KAS Eupen,23,,
"2008/2009",Belgium Jupiler League,KRC Genk,50,,
"2009/2010",Belgium Jupiler League,KRC Genk,34,50,-16
"2010/2011",Belgium Jupiler League,KRC Genk,64,34,30
"2011/2012",Belgium Jupiler League,KRC Genk,46,64,-18
"2012/2013",Belgium Jupiler League,KRC Genk,55,46,9
"2014/2015",Belgium Jupiler League,KRC Genk,49,55,-6
"2015/2016",Belgium Jupiler League,KRC Genk,48,49,-1
"2008/2009",Belgium Jupiler League,KSV Cercle Brugge,47,,
"2009/2010",Belgium Jupiler League,KSV Cercle Brugge,38,47,-9
"2010/2011",Belgium Jupiler League,KSV Cercle Brugge,39,38,1
"2011/2012",Belgium Jupiler League,KSV Cercle Brugge,46,39,7
"2012/2013",Belgium Jupiler League,KSV Cercle Brugge,14,46,-32
"2014/2015",Belgium Jupiler League,KSV Cercle Brugge,24,14,10
"2008/2009",Belgium Jupiler League,KSV Roeselare,30,,
"2009/2010",Belgium Jupiler League,KSV Roeselare,18,30,-12
"2008/2009",Belgium Jupiler League,KV Kortrijk,38,,
"2009/2010",Belgium Jupiler League,KV Kortrijk,45,38,7
"2010/2011",Belgium Jupiler League,KV Kortrijk,38,45,-7
"2011/2012",Belgium Jupiler League,KV Kortrijk,46,38,8
"2012/2013",Belgium Jupiler League,KV Kortrijk,39,46,-7
"2014/2015",Belgium Jupiler League,KV Kortrijk,51,39,12
"2015/2016",Belgium Jupiler League,KV Kortrijk,39,51,-12
"2008/2009",Belgium Jupiler League,KV Mechelen,46,,
"2009/2010",Belgium Jupiler League,KV Mechelen,39,46,-7
"2010/2011",Belgium Jupiler League,KV Mechelen,48,39,9
"2011/2012",Belgium Jupiler League,KV Mechelen,37,48,-11
"2012/2013",Belgium Jupiler League,KV Mechelen,41,37,4
"2014/2015",Belgium Jupiler League,KV Mechelen,41,41,0
"2015/2016",Belgium Jupiler League,KV Mechelen,37,41,-4
"2013/2014",Belgium Jupiler League,KV Oostende,14,,
"2014/2015",Belgium Jupiler League,KV Oostende,38,14,24
"2015/2016",Belgium Jupiler League,KV Oostende,49,38,11
"2008/2009",Belgium Jupiler League,KVC Westerlo,52,,
"2009/2010",Belgium Jupiler League,KVC Westerlo,32,52,-20
"2010/2011",Belgium Jupiler League,KVC Westerlo,41,32,9
"2011/2012",Belgium Jupiler League,KVC Westerlo,20,41,-21
"2014/2015",Belgium Jupiler League,KVC Westerlo,33,20,13
"2015/2016",Belgium Jupiler League,KVC Westerlo,30,33,-3
"2008/2009",Germany 1. Bundesliga,Karlsruher SC,29,,
"2008/2009",Scotland Premier League,Kilmarnock,44,,
"2009/2010",Scotland Premier League,Kilmarnock,33,44,-11
"2010/2011",Scotland Premier League,Kilmarnock,49,33,16
"2011/2012",Scotland Premier League,Kilmarnock,47,49,-2
"2012/2013",Scotland Premier League,Kilmarnock,45,47,-2
"2013/2014",Scotland Premier League,Kilmarnock,39,45,-6
"2014/2015",Scotland Premier League,Kilmarnock,41,39,2
"2015/2016",Scotland Premier League,Kilmarnock,36,41,-5
"2009/2010",Poland Ekstraklasa,Korona Kielce,37,,
"2010/2011",Poland Ekstraklasa,Korona Kielce,37,37,0
"2011/2012",Poland Ekstraklasa,Korona Kielce,48,37,11
"2012/2013",Poland Ekstraklasa,Korona Kielce,36,48,-12
"2013/2014",Poland Ekstraklasa,Korona Kielce,37,36,1
"2014/2015",Poland Ekstraklasa,Korona Kielce,39,37,2
"2015/2016",Poland Ekstraklasa,Korona Kielce,37,39,-2
"2008/2009",France Ligue 1,LOSC Lille,64,,
"2009/2010",France Ligue 1,LOSC Lille,70,64,6
"2010/2011",France Ligue 1,LOSC Lille,76,70,6
"2011/2012",France Ligue 1,LOSC Lille,74,76,-2
"2012/2013",France Ligue 1,LOSC Lille,62,74,-12
"2013/2014",France Ligue 1,LOSC Lille,71,62,9
"2014/2015",France Ligue 1,LOSC Lille,56,71,-15
"2015/2016",France Ligue 1,LOSC Lille,60,56,4
"2008/2009",Italy Serie A,Lazio,50,,
"2009/2010",Italy Serie A,Lazio,46,50,-4
"2010/2011",Italy Serie A,Lazio,66,46,20
"2011/2012",Italy Serie A,Lazio,59,66,-7
"2012/2013",Italy Serie A,Lazio,61,59,2
"2013/2014",Italy Serie A,Lazio,56,61,-5
"2014/2015",Italy Serie A,Lazio,66,56,10
"2015/2016",Italy Serie A,Lazio,54,66,-12
"2008/2009",France Ligue 1,Le Havre AC,26,,
"2008/2009",France Ligue 1,Le Mans FC,40,,
